Datum (MESZ),Bremen,Dresden-Klotzsche,Gießen/Wettenberg,Saarbrücken-Ensheim,Würzburg
,Globalstrahlung (W/m²),Globalstrahlung (W/m²),Globalstrahlung (W/m²),Globalstrahlung (W/m²),Globalstrahlung (W/m²)
2024-04-01T02:00+02:00,0,0,0,0,0
2024-04-01T03:00+02:00,0,0,0,0,0
2024-04-01T04:00+02:00,0,0,0,0,0
2024-04-01T05:00+02:00,0,0,0,0,0
2024-04-01T06:00+02:00,0,0,0,0,0
2024-04-01T07:00+02:00,2,5,0,0,0
2024-04-01T08:00+02:00,13,38,19,11,13
2024-04-01T09:00+02:00,13,61,30,69,47
2024-04-01T10:00+02:00,22,169,44,125,30
2024-04-01T11:00+02:00,30,180,75,161,44
2024-04-01T12:00+02:00,50,313,155,136,236
2024-04-01T13:00+02:00,125,216,88,116,272
2024-04-01T14:00+02:00,102,183,127,186,152
2024-04-01T15:00+02:00,113,238,138,241,338
2024-04-01T16:00+02:00,38,144,94,191,247
2024-04-01T17:00+02:00,50,172,66,200,241
2024-04-01T18:00+02:00,30,66,138,108,183
2024-04-01T19:00+02:00,16,27,75,69,36
2024-04-01T20:00+02:00,2,5,5,5,5
2024-04-01T21:00+02:00,0,0,0,0,0
2024-04-01T22:00+02:00,0,0,0,0,0
2024-04-01T23:00+02:00,0,0,0,0,0
2024-04-02T00:00+02:00,0,0,0,0,0
2024-04-02T01:00+02:00,0,0,0,0,0
2024-04-02T02:00+02:00,0,0,0,0,0
2024-04-02T03:00+02:00,0,0,0,0,0
2024-04-02T04:00+02:00,0,0,0,0,0
2024-04-02T05:00+02:00,0,0,0,0,0
2024-04-02T06:00+02:00,0,0,0,0,0
2024-04-02T07:00+02:00,8,8,2,2,5
2024-04-02T08:00+02:00,97,116,13,36,30
2024-04-02T09:00+02:00,258,211,50,88,55
2024-04-02T10:00+02:00,369,275,194,300,141
2024-04-02T11:00+02:00,336,288,172,275,302
2024-04-02T12:00+02:00,291,602,277,361,447
2024-04-02T13:00+02:00,236,469,291,302,547
2024-04-02T14:00+02:00,222,555,480,350,508
2024-04-02T15:00+02:00,152,283,333,505,458
2024-04-02T16:00+02:00,216,305,297,402,258
2024-04-02T17:00+02:00,186,272,288,308,275
2024-04-02T18:00+02:00,222,205,97,241,158
2024-04-02T19:00+02:00,52,88,36,77,80
2024-04-02T20:00+02:00,2,5,2,2,8
2024-04-02T21:00+02:00,0,0,0,0,0
2024-04-02T22:00+02:00,0,0,0,0,0
2024-04-02T23:00+02:00,0,0,0,0,0
2024-04-03T00:00+02:00,0,0,0,0,0
2024-04-03T01:00+02:00,0,0,0,0,0
2024-04-03T02:00+02:00,0,0,0,0,0
2024-04-03T03:00+02:00,0,0,0,0,0
2024-04-03T04:00+02:00,0,0,0,0,0
2024-04-03T05:00+02:00,0,0,0,0,0
2024-04-03T06:00+02:00,0,0,0,0,0
2024-04-03T07:00+02:00,8,13,8,0,8
2024-04-03T08:00+02:00,19,61,50,19,33
2024-04-03T09:00+02:00,77,291,77,102,83
2024-04-03T10:00+02:00,86,341,86,125,130
2024-04-03T11:00+02:00,136,158,141,147,125
2024-04-03T12:00+02:00,166,233,122,147,141
2024-04-03T13:00+02:00,194,297,113,127,213
2024-04-03T14:00+02:00,241,183,97,172,227
2024-04-03T15:00+02:00,213,208,116,100,191
2024-04-03T16:00+02:00,197,197,183,169,144
2024-04-03T17:00+02:00,111,161,58,244,72
2024-04-03T18:00+02:00,91,108,44,88,86
2024-04-03T19:00+02:00,41,33,22,41,61
2024-04-03T20:00+02:00,8,2,5,2,5
2024-04-03T21:00+02:00,0,0,0,0,0
2024-04-03T22:00+02:00,0,0,0,0,0
2024-04-03T23:00+02:00,0,0,0,0,0
2024-04-04T00:00+02:00,0,0,0,0,0
2024-04-04T01:00+02:00,0,0,0,0,0
2024-04-04T02:00+02:00,0,0,0,0,0
2024-04-04T03:00+02:00,0,0,0,0,0
2024-04-04T04:00+02:00,0,0,0,0,0
2024-04-04T05:00+02:00,0,0,0,0,0
2024-04-04T06:00+02:00,0,0,0,0,0
2024-04-04T07:00+02:00,13,5,0,5,5
2024-04-04T08:00+02:00,41,94,38,47,30
2024-04-04T09:00+02:00,100,294,47,44,144
2024-04-04T10:00+02:00,55,408,55,44,261
2024-04-04T11:00+02:00,97,461,91,83,186
2024-04-04T12:00+02:00,80,275,252,111,222
2024-04-04T13:00+02:00,66,238,300,105,311
2024-04-04T14:00+02:00,166,216,216,100,219
2024-04-04T15:00+02:00,238,180,211,177,197
2024-04-04T16:00+02:00,405,166,272,452,52
2024-04-04T17:00+02:00,244,169,213,297,22
2024-04-04T18:00+02:00,100,111,222,83,275
2024-04-04T19:00+02:00,77,38,105,86,125
2024-04-04T20:00+02:00,8,8,2,16,8
2024-04-04T21:00+02:00,0,0,0,0,0
2024-04-04T22:00+02:00,0,0,0,0,0
2024-04-04T23:00+02:00,0,0,0,0,0
2024-04-05T00:00+02:00,0,0,0,0,0
2024-04-05T01:00+02:00,0,0,0,0,0
2024-04-05T02:00+02:00,0,0,0,0,0
2024-04-05T03:00+02:00,0,0,0,0,0
2024-04-05T04:00+02:00,0,0,0,0,0
