Datum (MESZ),Bremen,Dresden-Klotzsche,Gießen/Wettenberg,Saarbrücken-Ensheim,Würzburg
,Globalstrahlung (W/m²),Globalstrahlung (W/m²),Globalstrahlung (W/m²),Globalstrahlung (W/m²),Globalstrahlung (W/m²)
2024-08-01T02:00+02:00,0,0,0,0,0
2024-08-01T03:00+02:00,0,0,0,0,0
2024-08-01T04:00+02:00,0,0,0,0,0
2024-08-01T05:00+02:00,0,0,0,0,0
2024-08-01T06:00+02:00,19,5,11,8,8
2024-08-01T07:00+02:00,138,47,100,38,91
2024-08-01T08:00+02:00,261,211,277,97,261
2024-08-01T09:00+02:00,422,397,347,175,388
2024-08-01T10:00+02:00,563,552,194,100,277
2024-08-01T11:00+02:00,675,680,180,19,455
2024-08-01T12:00+02:00,763,797,144,50,586
2024-08-01T13:00+02:00,650,791,172,47,405
2024-08-01T14:00+02:00,525,880,305,697,152
2024-08-01T15:00+02:00,677,677,197,597,25
2024-08-01T16:00+02:00,636,538,222,391,30
2024-08-01T17:00+02:00,486,552,166,219,83
2024-08-01T18:00+02:00,252,400,136,247,252
2024-08-01T19:00+02:00,116,147,111,208,158
2024-08-01T20:00+02:00,41,33,58,55,52
2024-08-01T21:00+02:00,5,5,11,5,11
2024-08-01T22:00+02:00,0,0,0,0,0
2024-08-01T23:00+02:00,0,0,0,0,0
2024-08-02T00:00+02:00,0,0,0,0,0
2024-08-02T01:00+02:00,0,0,0,0,0
2024-08-02T02:00+02:00,0,0,0,0,0
2024-08-02T03:00+02:00,0,0,0,0,0
2024-08-02T04:00+02:00,0,0,0,0,0
2024-08-02T05:00+02:00,0,0,0,0,0
2024-08-02T06:00+02:00,5,0,5,2,2
2024-08-02T07:00+02:00,36,2,38,47,11
2024-08-02T08:00+02:00,97,52,216,172,58
2024-08-02T09:00+02:00,188,113,286,322,127
2024-08-02T10:00+02:00,502,66,488,491,150
2024-08-02T11:00+02:00,666,88,702,666,158
2024-08-02T12:00+02:00,700,105,716,633,380
2024-08-02T13:00+02:00,766,80,522,422,600
2024-08-02T14:00+02:00,775,80,519,772,461
2024-08-02T15:00+02:00,763,100,405,655,502
2024-08-02T16:00+02:00,669,202,561,438,563
2024-08-02T17:00+02:00,575,136,441,244,625
2024-08-02T18:00+02:00,383,233,422,13,452
2024-08-02T19:00+02:00,238,125,241,183,266
2024-08-02T20:00+02:00,105,125,105,33,88
2024-08-02T21:00+02:00,16,11,11,5,5
2024-08-02T22:00+02:00,0,0,0,0,0
2024-08-02T23:00+02:00,0,0,0,0,0
2024-08-03T00:00+02:00,0,0,0,0,0
2024-08-03T01:00+02:00,0,0,0,0,0
2024-08-03T02:00+02:00,0,0,0,0,0
2024-08-03T03:00+02:00,0,0,0,0,0
