Datum (MESZ),Bremen,Dresden-Klotzsche,Gießen/Wettenberg,Saarbrücken-Ensheim,Würzburg
,Globalstrahlung (W/m²),Globalstrahlung (W/m²),Globalstrahlung (W/m²),Globalstrahlung (W/m²),Globalstrahlung (W/m²)
2024-10-01T02:00+02:00,0,0,0,0,0
2024-10-01T03:00+02:00,0,0,0,0,0
2024-10-01T04:00+02:00,0,0,0,0,0
2024-10-01T05:00+02:00,0,0,0,0,0
2024-10-01T06:00+02:00,0,0,0,0,0
2024-10-01T07:00+02:00,0,19,0,0,0
2024-10-01T08:00+02:00,11,36,16,16,8
2024-10-01T09:00+02:00,83,127,80,97,72
2024-10-01T10:00+02:00,94,194,258,227,266
2024-10-01T11:00+02:00,127,261,347,313,369
2024-10-01T12:00+02:00,219,333,141,347,516
2024-10-01T13:00+02:00,308,325,147,441,441
2024-10-01T14:00+02:00,302,241,261,430,347
2024-10-01T15:00+02:00,183,230,233,291,505
2024-10-01T16:00+02:00,205,213,116,394,305
2024-10-01T17:00+02:00,100,100,72,194,244
2024-10-01T18:00+02:00,41,19,36,158,80
2024-10-01T19:00+02:00,8,0,11,41,33
2024-10-01T20:00+02:00,0,0,0,0,0
2024-10-01T21:00+02:00,0,0,0,0,0
2024-10-01T22:00+02:00,0,0,0,0,0
2024-10-01T23:00+02:00,0,0,0,0,0
2024-10-02T00:00+02:00,0,0,0,0,0
2024-10-02T01:00+02:00,0,0,0,0,0
2024-10-02T02:00+02:00,0,0,0,0,0
2024-10-02T03:00+02:00,0,0,0,0,0
2024-10-02T04:00+02:00,0,0,0,0,0
2024-10-02T05:00+02:00,0,0,0,0,0
2024-10-02T06:00+02:00,0,0,0,0,0
2024-10-02T07:00+02:00,0,5,0,0,0
2024-10-02T08:00+02:00,2,19,5,5,5
2024-10-02T09:00+02:00,22,102,44,66,16
2024-10-02T10:00+02:00,44,258,50,122,55
2024-10-02T11:00+02:00,66,186,130,205,111
2024-10-02T12:00+02:00,72,288,266,369,141
2024-10-02T13:00+02:00,94,144,147,441,327
2024-10-02T14:00+02:00,152,77,383,222,350
2024-10-02T15:00+02:00,252,97,441,272,422
2024-10-02T16:00+02:00,222,63,258,305,405
2024-10-02T17:00+02:00,88,16,94,263,216
2024-10-02T18:00+02:00,58,5,61,158,80
2024-10-02T19:00+02:00,13,0,8,27,41
2024-10-02T20:00+02:00,0,0,0,0,0
2024-10-02T21:00+02:00,0,0,0,0,0
2024-10-02T22:00+02:00,0,0,0,0,0
2024-10-02T23:00+02:00,0,0,0,0,0
2024-10-03T00:00+02:00,0,0,0,0,0
2024-10-03T01:00+02:00,0,0,0,0,0
2024-10-03T02:00+02:00,0,0,0,0,0
2024-10-03T03:00+02:00,0,0,0,0,0
2024-10-03T04:00+02:00,0,0,0,0,0
2024-10-03T05:00+02:00,0,0,0,0,0
2024-10-03T06:00+02:00,0,0,0,0,0
2024-10-03T07:00+02:00,0,5,0,0,0
2024-10-03T08:00+02:00,11,27,19,5,8
2024-10-03T09:00+02:00,102,69,63,36,41
2024-10-03T10:00+02:00,263,66,108,91,77
2024-10-03T11:00+02:00,400,194,163,130,213
2024-10-03T12:00+02:00,430,194,138,163,244
2024-10-03T13:00+02:00,425,122,100,436,227
2024-10-03T14:00+02:00,197,75,94,272,236
2024-10-03T15:00+02:00,177,147,211,422,183
2024-10-03T16:00+02:00,177,141,188,388,144
2024-10-03T17:00+02:00,172,47,116,169,116
2024-10-03T18:00+02:00,91,5,36,58,61
2024-10-03T19:00+02:00,13,0,8,11,11
2024-10-03T20:00+02:00,0,0,0,0,0
2024-10-03T21:00+02:00,0,0,0,0,0
2024-10-03T22:00+02:00,0,0,0,0,0
2024-10-03T23:00+02:00,0,0,0,0,0
2024-10-04T00:00+02:00,0,0,0,0,0
2024-10-04T01:00+02:00,0,0,0,0,0
2024-10-04T02:00+02:00,0,0,0,0,0
2024-10-04T03:00+02:00,0,0,0,0,0
2024-10-04T04:00+02:00,0,0,0,0,0
2024-10-04T05:00+02:00,0,0,0,0,0
2024-10-04T06:00+02:00,0,0,0,0,0
2024-10-04T07:00+02:00,0,2,0,0,0
2024-10-04T08:00+02:00,19,16,5,16,5
2024-10-04T09:00+02:00,133,44,63,63,33
2024-10-04T10:00+02:00,275,63,111,205,130
2024-10-04T11:00+02:00,400,97,144,241,297
2024-10-04T12:00+02:00,491,108,219,397,144
2024-10-04T13:00+02:00,525,161,241,391,191
2024-10-04T14:00+02:00,519,113,216,361,166
2024-10-04T15:00+02:00,461,47,166,225,202
2024-10-04T16:00+02:00,347,25,180,127,172
2024-10-04T17:00+02:00,227,27,133,183,55
2024-10-04T18:00+02:00,91,5,58,91,50
2024-10-04T19:00+02:00,13,0,8,22,13
2024-10-04T20:00+02:00,0,0,0,0,0
2024-10-04T21:00+02:00,0,0,0,0,0
2024-10-04T22:00+02:00,0,0,0,0,0
2024-10-04T23:00+02:00,0,0,0,0,0
2024-10-05T00:00+02:00,0,0,0,0,0
2024-10-05T01:00+02:00,0,0,0,0,0
2024-10-05T02:00+02:00,0,0,0,0,0
2024-10-05T03:00+02:00,0,0,0,0,0
2024-10-05T04:00+02:00,0,0,0,0,0
2024-10-05T05:00+02:00,0,0,0,0,0
2024-10-05T06:00+02:00,0,0,0,0,0
2024-10-05T07:00+02:00,0,2,0,0,0
2024-10-05T08:00+02:00,19,22,11,25,5
2024-10-05T09:00+02:00,133,41,130,163,63
2024-10-05T10:00+02:00,272,77,316,325,138
2024-10-05T11:00+02:00,394,138,430,466,216
2024-10-05T12:00+02:00,491,155,522,563,419
2024-10-05T13:00+02:00,563,127,566,522,119
2024-10-05T14:00+02:00,547,111,594,558,152
2024-10-05T15:00+02:00,416,97,530,472,255
2024-10-05T16:00+02:00,313,44,316,347,183
2024-10-05T17:00+02:00,291,27,277,197,116
2024-10-05T18:00+02:00,127,5,111,141,100
2024-10-05T19:00+02:00,13,0,16,19,22
2024-10-05T20:00+02:00,0,0,0,0,0
2024-10-05T21:00+02:00,0,0,0,0,0
2024-10-05T22:00+02:00,0,0,0,0,0
2024-10-05T23:00+02:00,0,0,0,0,0
2024-10-06T00:00+02:00,0,0,0,0,0
2024-10-06T01:00+02:00,0,0,0,0,0
2024-10-06T02:00+02:00,0,0,0,0,0
2024-10-06T03:00+02:00,0,0,0,0,0
2024-10-06T04:00+02:00,0,0,0,0,0
2024-10-06T05:00+02:00,0,0,0,0,0
2024-10-06T06:00+02:00,0,0,0,0,0
2024-10-06T07:00+02:00,0,2,0,0,0
2024-10-06T08:00+02:00,16,13,8,13,11
2024-10-06T09:00+02:00,125,52,66,72,52
2024-10-06T10:00+02:00,261,86,150,177,116
2024-10-06T11:00+02:00,383,150,363,238,125
2024-10-06T12:00+02:00,475,222,422,397,152
2024-10-06T13:00+02:00,541,241,480,547,138
2024-10-06T14:00+02:00,425,255,452,350,177
2024-10-06T15:00+02:00,308,163,433,291,208
2024-10-06T16:00+02:00,250,91,402,258,138
2024-10-06T17:00+02:00,166,58,200,119,72
2024-10-06T18:00+02:00,58,8,58,52,58
2024-10-06T19:00+02:00,13,0,5,8,13
2024-10-06T20:00+02:00,0,0,0,0,0
2024-10-06T21:00+02:00,0,0,0,0,0
2024-10-06T22:00+02:00,0,0,0,0,0
2024-10-06T23:00+02:00,0,0,0,0,0
2024-10-07T00:00+02:00,0,0,0,0,0
2024-10-07T01:00+02:00,0,0,0,0,0
2024-10-07T02:00+02:00,0,0,0,0,0
2024-10-07T03:00+02:00,0,0,0,0,0
2024-10-07T04:00+02:00,0,0,0,0,0
2024-10-07T05:00+02:00,0,0,0,0,0
2024-10-07T06:00+02:00,0,0,0,0,0
2024-10-07T07:00+02:00,0,19,0,0,0
2024-10-07T08:00+02:00,5,80,0,5,11
2024-10-07T09:00+02:00,38,119,16,27,125
2024-10-07T10:00+02:00,61,138,52,91,138
2024-10-07T11:00+02:00,247,372,50,127,238
2024-10-07T12:00+02:00,336,386,119,188,72
2024-10-07T13:00+02:00,386,369,155,319,55
2024-10-07T14:00+02:00,430,127,236,202,86
2024-10-07T15:00+02:00,380,169,277,313,97
2024-10-07T16:00+02:00,352,100,344,155,133
2024-10-07T17:00+02:00,236,27,130,44,127
2024-10-07T18:00+02:00,77,5,69,11,41
2024-10-07T19:00+02:00,8,0,8,2,2
2024-10-07T20:00+02:00,0,0,0,0,0
2024-10-07T21:00+02:00,0,0,0,0,0
2024-10-07T22:00+02:00,0,0,0,0,0
2024-10-07T23:00+02:00,0,0,0,0,0
2024-10-08T00:00+02:00,0,0,0,0,0
2024-10-08T01:00+02:00,0,0,0,0,0
2024-10-08T02:00+02:00,0,0,0,0,0
2024-10-08T03:00+02:00,0,0,0,0,0
2024-10-08T04:00+02:00,0,0,0,0,0
2024-10-08T05:00+02:00,0,0,0,0,0
2024-10-08T06:00+02:00,0,0,0,0,0
2024-10-08T07:00+02:00,0,11,0,0,0
2024-10-08T08:00+02:00,2,91,8,2,11
2024-10-08T09:00+02:00,38,241,25,25,33
2024-10-08T10:00+02:00,66,350,72,66,180
2024-10-08T11:00+02:00,222,397,191,105,211
2024-10-08T12:00+02:00,322,513,191,,113
2024-10-08T13:00+02:00,436,525,122,,111
2024-10-08T14:00+02:00,380,447,172,,138
2024-10-08T15:00+02:00,425,347,108,,63
2024-10-08T16:00+02:00,241,183,105,86,38
2024-10-08T17:00+02:00,105,50,52,130,33
2024-10-08T18:00+02:00,33,8,27,66,16
2024-10-08T19:00+02:00,2,0,2,8,2
2024-10-08T20:00+02:00,0,0,0,0,0
2024-10-08T21:00+02:00,0,0,0,0,0
2024-10-08T22:00+02:00,0,0,0,0,0
2024-10-08T23:00+02:00,0,0,0,0,0
2024-10-09T00:00+02:00,0,0,0,0,0
2024-10-09T01:00+02:00,0,0,0,0,0
2024-10-09T02:00+02:00,0,0,0,0,0
2024-10-09T03:00+02:00,0,0,0,0,0
2024-10-09T04:00+02:00,0,0,0,0,0
2024-10-09T05:00+02:00,0,0,0,0,0
2024-10-09T06:00+02:00,0,0,0,0,0
2024-10-09T07:00+02:00,0,5,0,0,0
2024-10-09T08:00+02:00,2,36,2,8,8
2024-10-09T09:00+02:00,13,222,47,72,102
2024-10-09T10:00+02:00,63,380,88,144,244
2024-10-09T11:00+02:00,355,475,147,141,330
2024-10-09T12:00+02:00,347,530,147,72,405
2024-10-09T13:00+02:00,269,519,100,83,336
2024-10-09T14:00+02:00,275,469,61,102,208
2024-10-09T15:00+02:00,197,361,55,200,130
2024-10-09T16:00+02:00,116,147,52,86,130
2024-10-09T17:00+02:00,36,33,27,41,116
2024-10-09T18:00+02:00,25,2,8,19,19
2024-10-09T19:00+02:00,2,0,0,2,2
2024-10-09T20:00+02:00,0,0,0,0,0
2024-10-09T21:00+02:00,0,0,0,0,0
2024-10-09T22:00+02:00,0,0,0,0,0
2024-10-09T23:00+02:00,0,0,0,0,0
2024-10-10T00:00+02:00,0,0,0,0,0
2024-10-10T01:00+02:00,0,0,0,0,0
2024-10-10T02:00+02:00,0,0,0,0,0
2024-10-10T03:00+02:00,0,0,0,0,0
2024-10-10T04:00+02:00,0,0,0,0,0
2024-10-10T05:00+02:00,0,0,0,0,0
2024-10-10T06:00+02:00,0,0,0,0,0
2024-10-10T07:00+02:00,0,2,0,0,0
2024-10-10T08:00+02:00,2,55,2,2,2
2024-10-10T09:00+02:00,22,177,36,55,44
2024-10-10T10:00+02:00,41,61,100,130,102
2024-10-10T11:00+02:00,97,136,177,100,313
2024-10-10T12:00+02:00,155,205,441,288,319
2024-10-10T13:00+02:00,141,302,261,233,213
