Datum (MESZ),Bremen,Dresden-Klotzsche,Gießen/Wettenberg,Saarbrücken-Ensheim,Würzburg
,Geschwindigkeit (m/s),Geschwindigkeit (m/s),Geschwindigkeit (m/s),Geschwindigkeit (m/s),Geschwindigkeit (m/s)
2024-08-01T02:00+02:00,3.9,1.8,1.2,2,1.2
2024-08-01T03:00+02:00,3.8,1.8,0.9,1.7,1.3
2024-08-01T04:00+02:00,3.6,1.9,0.9,2.1,0.9
2024-08-01T05:00+02:00,3.2,3.1,1.6,1.1,1.5
2024-08-01T06:00+02:00,3.4,2.4,1.3,1.6,1.4
2024-08-01T07:00+02:00,3.3,1.5,1,1.9,1.1
2024-08-01T08:00+02:00,3.4,1.6,1.7,1.4,0.8
2024-08-01T09:00+02:00,4,2.1,2.2,1.1,1.2
2024-08-01T10:00+02:00,3.2,2,3.3,1.5,1.4
2024-08-01T11:00+02:00,3.4,1.6,2,3.8,1.3
2024-08-01T12:00+02:00,3.2,1.7,1.5,3.5,1.3
2024-08-01T13:00+02:00,3.1,1.8,0.8,3.3,1.4
2024-08-01T14:00+02:00,3.2,2,1.8,3.5,1.6
2024-08-01T15:00+02:00,2.8,2.2,1.7,2.1,3.4
2024-08-01T16:00+02:00,3.2,2.4,2.6,2.4,2.4
2024-08-01T17:00+02:00,3.5,2.2,3.7,2.2,5
2024-08-01T18:00+02:00,4.2,2.7,3.6,2.5,1.8
2024-08-01T19:00+02:00,5.8,3.6,3.6,2.8,1.9
2024-08-01T20:00+02:00,5.3,3.1,3.9,4.2,3.3
2024-08-01T21:00+02:00,5.5,1.9,2.2,5.5,1.1
2024-08-01T22:00+02:00,4.7,1.5,2.4,3.9,1.1
2024-08-01T23:00+02:00,4.1,3.1,2.6,2.4,1.4
2024-08-02T00:00+02:00,3.9,4.1,2.1,2.2,1.7
2024-08-02T01:00+02:00,4.2,3.4,2.9,1.7,1.7
2024-08-02T02:00+02:00,3.6,1.5,2.7,1.7,1.3
2024-08-02T03:00+02:00,3.1,1.7,2.3,1.2,1.2
2024-08-02T04:00+02:00,3,2,3.5,0.7,2.4
2024-08-02T05:00+02:00,3,1.6,3.1,0.6,3
2024-08-02T06:00+02:00,3.9,2.1,3.5,0.7,4.1
2024-08-02T07:00+02:00,2.4,2.5,2.7,0.9,4.4
2024-08-02T08:00+02:00,2.4,2.7,3.1,1.1,4.5
2024-08-02T09:00+02:00,2.2,3,2.8,0.8,4.3
2024-08-02T10:00+02:00,2.3,3.8,3.4,1.3,3.7
2024-08-02T11:00+02:00,3.3,4.7,2.2,1.8,3.7
2024-08-02T12:00+02:00,3.7,5.9,2.7,2.3,3.9
2024-08-02T13:00+02:00,3.3,5.9,1.9,2.1,2
2024-08-02T14:00+02:00,2.3,5,1.6,1.6,1.8
2024-08-02T15:00+02:00,2.1,3.2,1.3,2.1,1.6
2024-08-02T16:00+02:00,1.8,3.8,1.9,2.2,2.1
